id;d;s;ds;t;wSW;wR;kSW;SW;kR;R;ISBN;not_ISBN;OC;kPt;Pt;wPt;M;claster
122;0.06666666666666667;0.06292801966321981;0.4660277258490312;0.6180606895560482;0.333333333;1.0;0.125;0.10582010571428573;0.06666666666666667;0.14634146342177276;0.0;0.0;0.0;0;0;0;0.0;0
123;0.06666666666666667;0.1031924774556439;0.9555023098028395;0.8525472080881837;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0
124;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
125;0.06666666666666667;0.10105611563605789;0.9110046216594184;0.8312302518579896;0.0;0.333333333;0.0;0.0;0.06666666666666667;0.0487804877584771;0.0;0.0;0.0;0;0;0;0.0;0
126;0.06666666666666667;0.10226501500290397;0.9041588219037078;0.8279507201302675;0.0;0.291666667;0.0;0.0;0.13333333333333333;0.0853658536139203;0.0;0.125;0.0;0;0;0;0.125;0
127;0.06666666666666667;0.10041132805540957;0.9110046216594184;0.8312302518579896;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.333333333;0.0;0.0;0;0;0;0.08333333325;0
128;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;0;0.3125;2
129;0.06666666666666667;0.09436584082758599;0.8576073942443215;0.8056499043817565;0.0;0.2;0.0;0.0;0.06666666666666667;0.029268292684354554;0.0;0.0;0.0;0;0;0;0.0;0
130;0.06666666666666667;0.09037471910010679;0.725027097912013;0.7421363066302491;0.0;0.5;0.0;0.0;0.2;0.21951219513265915;0.0;0.0;0.0;0;0;0;0.0;0
131;0.06666666666666667;0.07610737492282167;0.5995207943867735;0.6820115582466306;0.25;1.0;0.125;0.07936507936507936;0.06666666666666667;0.14634146342177276;0.0;0.125;0.0;0;0;0;0.125;0
132;0.06666666666666667;0.10790798973384755;1.0;0.8738641643183779;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0;0;0;0.03125;0
133;0.06666666666666667;0.06776423617760903;0.493410918710655;0.631178816466937;0.5;0.5;0.125;0.15873015873015872;0.13333333333333333;0.14634146342177276;0.5;0.0;0.0;0;0;0;0.125;0
134;0.06666666666666667;0.09823431874708362;0.8357008387227789;0.7951554028530456;0.0;0.5;0.0;0.0;0.13333333333333333;0.14634146342177276;0.0;0.0;0.0;0;0;0;0.0;0
135;0.06666666666666667;0.5723252830065056;0.8220092412650971;0.15791716098949068;0.166666667;0.0;0.125;0.05291005301587302;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;1
136;0.06666666666666667;0.4157063759263603;0.7448799139175903;0.24710360591415492;0.166666667;0.288888889;0.125;0.05291005301587302;0.4;0.253658536548959;0.25;0.0;0.0;0;0;0;0.0625;1
137;0.06666666666666667;0.3057571949809275;0.7387186953696946;0.24415202735920494;0.25;0.291666667;0.125;0.07936507936507936;0.13333333333333333;0.0853658536139203;0.0;0.041666666625;0.0;0;0;0;0.041666666625;1
138;0.06666666666666667;0.0873523674404786;0.7330138629245155;0.745962426937213;0.0;1.0;0.0;0.0;0.06666666666666667;0.14634146342177276;0.0;0.0;0.0;0;0;0;0.0;0
139;0.06666666666666667;0.09962540931970491;0.9035883403021816;0.8276774257775786;0.0;0.25;0.0;0.0;0.06666666666666667;0.03658536585544319;0.0;0.083333333375;0.0;0;0;0;0.083333333375;0
